time,open,high,low,close,Volume,Volume MA
1617840000,1963.8075,2084.85,1949.335,2081.32,NaN,NaN
1617926400,2081.3025,2100.1125,2049.0625,2066.4725,NaN,NaN
1618012800,2066.8725,2195.36,2057.44,2134.07,NaN,NaN
1618099200,2134.0525,2163.5325,2113.0175,2149.6275,NaN,NaN
1618185600,2150.24,2199.3975,2101.2075,2137.5425,NaN,NaN
1618272000,2137.6,2316.84,2135.955,2299.785,NaN,NaN
1618358400,2299.9925,2446.4225,2282.965,2432.535,NaN,NaN
1618444800,2432.9675,2546.525,2400.5975,2517.37,NaN,NaN
1618531200,2517.525,2548.615,2304.1875,2426.015,NaN,NaN
1618617600,2426.6225,2497.46,2315.23,2318.1025,NaN,NaN
1618704000,2318.545,2340.51,1965.2725,2241.1425,NaN,NaN
1618790400,2241.7575,2281.6425,2071.8825,2163.305,NaN,NaN
1618876800,2164.61,2349.27,2054.08,2333.565,NaN,NaN
1618963200,2332.9375,2470.5625,2237.44,2357.7,NaN,NaN
1619049600,2359.625,2645.3425,2305.0375,2400.3025,NaN,NaN
1619136000,2400.4375,2442.62,2107.085,2369.7575,NaN,NaN
1619222400,2369.82,2371.03,2158.7425,2217.7425,NaN,NaN
1619308800,2216.96,2357.8475,2166.215,2322.155,NaN,NaN
1619395200,2322.51,2543.46,2306.275,2534.735,NaN,NaN
1619481600,2534.66,2682.29,2484.895,2668.6225,NaN,NaN
1619568000,2668.79,2761.69,2559.1625,2750.545,NaN,NaN
1619654400,2751.5425,2800.1375,2671.9525,2758.62,NaN,NaN
1619740800,2758.995,2800.4525,2727.4375,2776.8775,NaN,NaN
1619827200,2776.3575,2955.49,2757.81,2948.19,NaN,NaN
1619913600,2949.365,2986.0125,2855.8225,2952.0575,NaN,NaN
1620000000,2952.5175,3457.415,2952.485,3432.0525,NaN,NaN
1620086400,3433.1425,3531.5625,3168.93,3240.82,NaN,NaN
1620172800,3241.195,3551.9525,3208.3575,3528.525,NaN,NaN
1620259200,3529.0425,3610.1675,3381.36,3491.8975,NaN,NaN
1620345600,3493.84,3593.7675,3356.225,3484.295,NaN,NaN
1620432000,3485.3475,3961.1325,3455.02,3916.1475,NaN,NaN
1620518400,3916.605,3984.0975,3729.625,3928.15,NaN,NaN
1620604800,3928.8775,4209.5125,3577.75,3950.6925,NaN,NaN
1620691200,3949.75,4183.8075,3770.3125,4179.245,NaN,NaN
1620777600,4179.41,4381.715,3719.3175,3830.6425,NaN,NaN
1620864000,3822.59,4047.02,3529.815,3719.4825,NaN,NaN
1620950400,3719.19,4178.9975,3694.035,4080.66,NaN,NaN
1621036800,4080.475,4135.06,3632.36,3647.79,NaN,NaN
1621123200,3647.515,3878.5375,3339.4125,3584.8075,NaN,NaN
